Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
ISTITUTO COMPRENSIVO PERGINE 1,SCUOLA PRIMARIA S.FELICE FIEROZZO,Scuola Primaria,Statale,"Maso Ronca, 1",FIEROZZO - VLARÖTZ,0461/532261,0461/533167,ic.pergine1@pec.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,www.icpergine1.it/,TNEE81401P,38050
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,SCUOLA PRIMARIA ANDALO,Scuola Primaria,Statale,"Piazza S Vito, 1",ANDALO,0461/601125,0461/601125,ic.mezzolombardo@pec.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,www.icmezzolombardopaganella.it,TNEE82406E,38010
Scuola dell'infanzia di Cembra,Scuola dell'Infanzia di Cembra,Scuola dell'infanzia,Paritaria,"Piazza Zanotelli - Cembra, 1",CEMBRA LISIGNAGO,0461-680173,,cembra.presidente@fpsm.tn.it,cembra.segretario@fpsm.tn.it,,,38034
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO,Scuola Secondaria di Secondo Grado,Statale,"Corso Degasperi, 14",PREDAZZO,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNTD001509,38037
ISTITUTO COMPRENSIVO TIONE,SCUOLA PRIMARIA TIONE DI TRENTO,Scuola Primaria,Statale,"Via Pinzolo, 2",TIONE DI TRENTO,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNEE83603N,38079
ISTITUTO COMPRENSIVO STRIGNO E TESINO,"SCUOLA PRIMARIA ""A. DEGASPERI"" PIEVE TESINO",Scuola Primaria,Statale,"Via Brigata Abruzzi, 6",PIEVE TESINO,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNEE80102N,38050
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO",SETTORE SERVIZI,,Paritaria,"Via Murialdo, 30",CIVEZZANO,0461/857003,0461/857284,oxford@pec.cooperazionetrentina.it,info@istitutodecarneri.it,www.istitutodecarneri.it,TNFP269STA,38045
Scuola dell'infanzia di Villazzano,Scuola dell'Infanzia di Villazzano,Scuola dell'infanzia,Paritaria,"Via Giordano, 15",TRENTO,0461-920382,,villazzano.segretario@fpsm.tn.it,villazzano.segretario@fpsm.tn.it,,,38123
Scuola dell'infanzia di Mezzolombardo,Scuola dell'Infanzia di Mezzolombardo,Scuola dell'infanzia,Paritaria,"Corso del Popolo, 34/B",MEZZOLOMBARDO,0461-601324,,mezzolombardo.presidente@fpsm.tn.it,mezzolombardo.segretario@fpsm.tn.it,,,38017
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""","LICEO ARTISTICO ""Depero""- ROVERETO",Scuola Secondaria di Secondo Grado,Statale,"Via Delle Fosse, 9",ROVERETO,0464/438836,0461/824345,info.depero@istitutodellearti.tn.it,info@istitutodellearti.tn.it,https://www.istitutodellearti.tn.it,TNSD020011,38068
ISTITUTO COMPRENSIVO TRENTO 6,"SCUOLA PRIMARIA ""A. SCHMID"" CRISTO RE TRENTO",Scuola Primaria,Statale,"Via Schmid, 4",TRENTO,0461/236214,0461/230583,ic.trento6@pec.provincia.tn.it,segr.ic.tn6@scuole.provincia.tn.it,www.ictrento6.it,TNEE85802D,38121
Scuola dell'infanzia di Cles,Scuola dell'Infanzia di Cles,Scuola dell'infanzia,Paritaria,"Via Mattioli, 13",CLES,0463-625164,,cles.presidente@fpsm.tn.it,cles.segretario@fpsm.tn.it,,,38023
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE",ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO,Scuola Secondaria di Secondo Grado,Statale,"Corso Degasperi, 14",PREDAZZO,0462/341449,0462/248071,weisserose@pec.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,www.scuolefiemme.tn.it,TNTD001011,38037
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,"SCUOLA PRIMARIA ""I. MASIA"" ZIANO DI FIEMME",Scuola Primaria,Statale,"Piazza Italia, 4",ZIANO DI FIEMME,0462/571163,0462/500023,ic.predazzo@pec.provincia.tn.it,segr.ic.predazzo@scuole.provincia.tn.it,www.ic-predazzotesero.it,TNEE80802C,38030
Scuola dell'infanzia di Cloz e Brez,Scuola dell'Infanzia di Cloz e Brez,Scuola dell'infanzia,Paritaria,"Via di S Stefano, 2/A",NOVELLA,0463-874577,,cloz.brez.presidente@fpsm.tn.it,cloz.brez.segretario@fpsm.tn.it,,,38020
Scuola dell'infanzia di Vigo Cavedine,Scuola dell'Infanzia di Vigo Cavedine,Scuola dell'infanzia,Paritaria,"Via Scuola Materna, 1",CAVEDINE,0461-566061,,vigo.cavedine.presidente@fpsm.tn.it,vigo.cavedine.segretario@fpsm.tn.it,,,38073
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNTD002505,38051
Scuola dell'infanzia di Panchià,Scuola dell'Infanzia di Panchià,Scuola dell'infanzia,Paritaria,"Piazza Chiesa, 6",PANCHIA',0462-814141,,panchia.presidente@fpsm.tn.it,panchia.segretario@fpsm.tn.it,,,38030
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Statale,"Via Brigata Acqui, 15",TRENTO,0461/216811,0461/984216,buonarroti@pec.provincia.tn.it,istituto.tecnico@buonarroti.tn.it,www.buonarroti.tn.it/,TNTF01301D,38122
ISTITUTO COMPRENSIVO VILLA LAGARINA,"SCUOLA PRIMARIA ""L. VICENTINI"" NOMI",Scuola Primaria,Statale,"Via Romani, 12",NOMI,0464/411312,0464/411705,ic.villalagarina@pec.provincia.tn.it,segr.ic.villalagarina@scuole.provincia.tn.it,www.icvillalagarina.it,TNEE84606B,38060
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,"SCUOLA PRIMARIA ""F. LOSS"" CANAL SAN BOVO",Scuola Primaria,Statale,"Localita Lausen, 14",CANAL SAN BOVO,0439/62435,0439/762466,ic.primiero@pec.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,www.scuoleprimiero.it,TNEE81001B,38050
Scuola dell'infanzia di Ischia di Pergine,Scuola dell'Infanzia di Ischia di Pergine,Scuola dell'infanzia,Paritaria,"Piazza delle Nogare, 2",PERGINE VALSUGANA,0461-532285,,ischia.presidente@fpsm.tn.it,ischia.segretario@fpsm.tn.it,,,38057
Scuola dell'infanzia di Vigo di Ton,Scuola dell'Infanzia di Vigo di Ton,Scuola dell'infanzia,Paritaria,"Piazza Guardi, 7",TON,0461-657897,,vigo.ton.segretario@fpsm.tn.it,vigo.ton.segretario@fpsm.tn.it,,,38010
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""","SCUOLA PRIMARIA ""I. CALVINO"" VIGO MEANO",Scuola Primaria,Statale,"Via Alle Oselere,  ",TRENTO,0461/990287,0461/994418,ic.trento7@pec.provincia.tn.it,segr.ic.tn7@scuole.provincia.tn.it,www.trento7.it,TNEE85102P,38121
ISTITUTO COMPRENSIVO LAVIS,"SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA",Scuola Primaria,Statale,"Piazza SS Filippo e Giacomo, 1",TERRE D'ADIGE,0461/246535,0461/242955,ic.lavis@pec.provincia.tn.it,segr.ic.lavis@scuole.provincia.tn.it,www.iclavis.it,TNEE825037,38010
ISTITUTO COMPRENSIVO STRIGNO E TESINO,SCUOLA PRIMARIA VILLA AGNEDO,Scuola Primaria,Statale,"Via Dei Molini - Agnedo, 36",CASTEL IVANO,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNEE80107V,38059
Scuola dell'infanzia di Vigo Cortesano,Scuola dell'Infanzia di Vigo Cortesano,Scuola dell'infanzia,Paritaria,"Via Madonna Dei Prati, 3",TRENTO,0461-448252,,vigo.meano.contabile@fpsm.tn.it,vigo.meano.segretario@fpsm.tn.it,,,38121
Scuola dell'infanzia di Roncogno di Pergine,Scuola dell'Infanzia di Roncogno di Pergine,Scuola dell'infanzia,Paritaria,"Piazza di S Anna, 3",PERGINE VALSUGANA,0461 502351,,asifchimelli@pec.it,,,,38057
Scuola dell'infanzia di Villamontagna,Scuola dell'Infanzia di Villamontagna,Scuola dell'infanzia,Paritaria,"Via dei Carli, 16",TRENTO,0461-209045,,villamontagna.segretario@fpsm.tn.it,villamontagna.segretario@fpsm.tn.it,,,38121
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,Scuola Secondaria di Secondo Grado,Statale,"VIA SAN PIETRO, 4",PERGINE VALSUGANA,0461/511397,0461/531743,curie@pec.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,www.curiepergine.it,TNPS00401L,38057
ISTITUTO COMPRENSIVO FONDO - REVO',"SCUOLA PRIMARIA ""MADRE TERESA DI CALCUTTA"" ROMENO",Scuola Primaria,Statale,"Via Monsignor Rosati, 1",ROMENO,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNEE82805R,38010
ISTITUTO COMPRENSIVO TRENTO 5,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. BRESADOLA"" TRENTO",Scuola Secondaria di Primo Grado,Statale,"Via Al Torrione, 2",TRENTO,0461/263331,0461/984463,ic.tn5@pec.provincia.tn.it,segr.ic.tn5@scuole.provincia.tn.it,http://www.istitutotrento5.it/,TNMM85201C,38122
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA,"SCUOLA PRIMARIA ""San G. Bosco"" SPORMAGGIORE",Scuola Primaria,Statale,"Via Alt Spaur, 5",SPORMAGGIORE,0461/601125,0461/601125,ic.mezzolombardo@pec.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,www.icmezzolombardopaganella.it,TNEE82408L,38010
ISTITUTO COMPRENSIVO PERGINE 1,SCUOLA PRIMARIA SANT'ORSOLA,Scuola Primaria,Statale,"Localita Pintarei, 21",SANT'ORSOLA TERME,0461/532261,0461/533167,ic.pergine1@pec.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,www.icpergine1.it/,TNEE81406X,38050
Scuola dell'infanzia di Castellano,Scuola dell'Infanzia di Castellano,Scuola dell'infanzia,Paritaria,"Via Caduti, 1",VILLA LAGARINA,0464-801242,,castellano.presidente@fpsm.tn.it,castellano.segretario@fpsm.tn.it,,,38060
ISTITUTO COMPRENSIVO FONDO - REVO',"SCUOLA PRIMARIA ""C.A. Martini"" REVO'",Scuola Primaria,Statale,"Via Delle Maddalene, 7",NOVELLA,0463/831134,0463/831746,ic.fondo@pec.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,www.icfondorevo.it,TNEE828091,38028
ISTITUTO COMPRENSIVO STRIGNO E TESINO,SCUOLA PRIMARIA OSPEDALETTO,Scuola Primaria,Statale,"Via Roma, 52",OSPEDALETTO,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNEE80108X,38050
Scuola dell'infanzia di Stenico,Scuola dell'Infanzia di Stenico,Scuola dell'infanzia,Paritaria,"Piazza Dante, 15",STENICO,0465-771019,,stenico.presidente@fpsm.tn.it,stenico.segretario@fpsm.tn.it,,,38070
Scuola dell'infanzia di Chizzola,Scuola dell'Infanzia di Chizzola,Scuola dell'infanzia,Paritaria,"Via Canestrini - Chizzola, 1",ALA,0464-696397,,chizzola.presidente@fpsm.tn.it,chizzola.segretario@fpsm.tn.it,,,38061
ISTITUTO COMPRENSIVO VILLA LAGARINA,SCUOLA PRIMARIA NOGAREDO,Scuola Primaria,Statale,"Via Verdi, 44",NOGAREDO,0464/411312,0464/411705,ic.villalagarina@pec.provincia.tn.it,segr.ic.villalagarina@scuole.provincia.tn.it,www.icvillalagarina.it,TNEE846016,38060
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Murialdo, 30",CIVEZZANO,0461/857003,0461/857284,oxford@pec.cooperazionetrentina.it,info@istitutodecarneri.it,www.istitutodecarneri.it,TNTN01500Q,38045
Scuola dell'infanzia di Storo,Scuola dell'Infanzia di Storo,Scuola dell'infanzia,Paritaria,"Via S Floriano, 22",STORO,0465-296084,,storo.presidente@fpsm.tn.it,storo.segretario@fpsm.tn.it,,,38089
Scuola dell'infanzia di Aldeno,Scuola dell'Infanzia di Aldeno,Scuola dell'infanzia,Paritaria,"Via XXV Aprile, 5",ALDENO,0461-842597,,aldeno.presidente@fpsm.tn.it,aldeno.segretario@fpsm.tn.it,,,38060
"Scuola dell'infanzia di Trento  ""Pedrotti""","Scuola dell'Infanzia di Trento  ""Pedrotti""",Scuola dell'infanzia,Paritaria,"Via Asilo Pedrotti, 2",TRENTO,0461-914039,,trento.pedrotti.presidente@fpsm.tn.it,trento.pedrotti.segretario@fpsm.tn.it,,,38122
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI,"SCUOLA PRIMARIA ""G. GRAFFER"" STENICO",Scuola Primaria,Statale,"Via Risorgimento, 11/A",STENICO,0465/701472,0465/702452,ic.giudicarieesteriori@pec.provincia.tn.it,segr.ic.pontearche@scuole.provincia.tn.it,www.giudicariescuola.it,TNEE83706L,38070
ISTITUTO COMPRENSIVO ISERA - ROVERETO,"SCUOLA PRIMARIA ""F.lli FILZI"" ROVERETO",Scuola Primaria,Statale,"Via Unione, 23",ROVERETO,0464/431515,0464/489616,ic.isera-rovereto@pec.provincia.tn.it,segr.ic.isera_rovereto@scuole.provincia.tn.it,www.isera-rovereto.it,TNEE84502B,38068
"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""","LICEO ARTISTICO ""Vittoria"" - Trento",Scuola Secondaria di Secondo Grado,Statale,"Via Zambra, 3",TRENTO,0461/824422,0461/824345,vittoria@pec.provincia.tn.it,info@istitutodellearti.tn.it,https://www.istitutodellearti.tn.it,TNSD02000X,38121
Scuola dell'infanzia di Siror,Scuola dell'Infanzia di Siror,Scuola dell'infanzia,Paritaria,"Via Asilo - Siror, 1",PRIMIERO SAN MARTINO DI CASTROZZA,0439-62790,,siror.presidente@fpsm.tn.it,siror.segretario@fpsm.tn.it,,,38054
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento",SETTORE INDUSTRIA E ARTIGIANATO SERALE,Formazione professionale,Statale,"Via Asiago, 14",TRENTO,0461/933147,0461/931682,ifp.trento@pec.provincia.tn.it,ifp.trento@scuole.provincia.tn.it,https://ifpsandropertinitrento.it,,38123
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Statale,"Via XXIV Maggio, 7",BORGO VALSUGANA,0461/753647,0461/753364,degasperi@pec.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,www.istalcidedegasperi.it,TNPS002011,38051
Scuola dell'infanzia di Fiera di Primiero,Scuola dell'Infanzia di Fiera di Primiero,Scuola dell'infanzia,Paritaria,"Viale Marconi - Pieve, 1",PRIMIERO SAN MARTINO DI CASTROZZA,0439-762196,0439764911,fiera.presidente@fpsm.tn.it,fiera.segretario@fpsm.tn.it,,,38054
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,SCUOLA PRIMARIA CALAVINO,Scuola Primaria,Statale,"Piazza Maria Assunta - Calavino, 1",MADRUZZO,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNEE84405P,38076
ISTITUTO COMPRENSIVO TRENTO 1,"SCUOLA PRIMARIA ""U. MOGGIOLI"" POVO",Scuola Primaria,Statale,"Via Dei Rivi, 6",TRENTO,0461/912740,0461/912065,ic.trento1@pec.provincia.tn.it,segr.ic.tn1@scuole.provincia.tn.it,www.ictrento1.it,TNEE81901T,38123
ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,"SCUOLA SECONDARIA DI PRIMO GRADO ""NUOVA EUROPA"" DRO",Scuola Secondaria di Primo Grado,Statale,"Via S Antonio, 17",DRO,0461/864026,0461/340648,ic.valledeilaghi@pec.provincia.tn.it,segr.ic.valledeilaghi@scuole.provincia.tn.it,www.icvalledeilaghidro.it,TNMM84403G,38074
"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO",ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI SERALE,Scuola Secondaria di Secondo Grado,Statale,"Via Balista, 6",ROVERETO,0464/485511,0464/485550,donmilani@pec.provincia.tn.it,segr.donmilani@scuole.provincia.tn.it,http://www.domir.it,TNRC00951N,38068
Scuola dell'infanzia di Avio,Scuola dell'Infanzia di Avio,Scuola dell'infanzia,Paritaria,"Via Dante, 5",AVIO,0464-684102,,avio.presidente@fpsm.tn.it,avio.segretario@fpsm.tn.it,,,38063
ISTITUTO COMPRENSIVO TRENTO 1,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" POVO",Scuola Secondaria di Primo Grado,Statale,"Via Znojmo, 24",TRENTO,0461/912740,0461/912065,ic.trento1@pec.provincia.tn.it,segr.ic.tn1@scuole.provincia.tn.it,www.ictrento1.it,TNMM81901R,38123
ISTITUTO COMPRENSIVO CEMBRA,SCUOLA SECONDARIA DI PRIMO GRADO STEDRO SEGONZANO,Scuola Secondaria di Primo Grado,Statale,"Frazione Scancio, 69",SEGONZANO,0461/683006,0461/682166,ic.cembra@pec.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,www.iccembra.it,TNMM82202N,38047
Scuola dell'infanzia di Lona,Scuola dell'Infanzia di Lona,Scuola dell'infanzia,Paritaria,"Via S Rocco, 14",LONA-LASES,0461-697101,,lona.presidente@fpsm.tn.it,lona.segretario@fpsm.tn.it,,,38040
ISTITUTO COMPRENSIVO VAL RENDENA,"SCUOLA PRIMARIA ""N. BOLOGNINI"" PINZOLO",Scuola Primaria,Statale,"Via Collini Borciol, 18",PINZOLO,0465/501139,0465/512119,ic.valrendena@pec.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,www.icvalrendena.it,TNEE834043,38086
"LICEO CLASSICO ""G. Prati"" - TRENTO",LICEO CLASSICO,Scuola Secondaria di Secondo Grado,Statale,"Via S Trinita, 38",TRENTO,0461/980190,0461/980747,prati@pec.provincia.tn.it,segr.liceoprati@scuole.provincia.tn.it,www.liceoprati.it,TNPC04000G,38122
ISTITUTO SACRO CUORE - TRENTO,SCUOLA SECONDARIA DI PRIMO GRADO SACRO CUORE TRENTO,Scuola Secondaria di Primo Grado,Paritaria,"Piazza S Teresa Verzeri, 4",TRENTO,0461/981465,0461/982734,,istitutocomprensivo@istitutosacrocuore.it,www.istitutosacrocuore.it,TN1M006007,38122
Scuola dell'infanzia di Albiano,Scuola dell'Infanzia di Albiano,Scuola dell'infanzia,Paritaria,"Via S Antonio, 22",ALBIANO,0461-689486,0461 723325,albiano.presidente@fpsm.tn.it,albiano.segretario@fpsm.tn.it,,,38041
"LICEO ""B. Russell"" - CLES",LICEO CLASSICO B. RUSSELL,Scuola Secondaria di Secondo Grado,Statale,"Via 4 Novembre, 35",CLES,0463/424049,0463/424577,russell@pec.provincia.tn.it,segr.russell@scuole.provincia.tn.it,www.liceorussell.eu,TNPM006019,38023
ISTITUTO SACRO CUORE - TRENTO,LICEO DELLE SCIENZE UMANE,Scuola Secondaria di Secondo Grado,Paritaria,"Piazza S Teresa Verzeri, 4",TRENTO,0461/981465,0461/982734,,istitutocomprensivo@istitutosacrocuore.it,www.istitutosacrocuore.it,TNPM015003,38122
Scuola dell'infanzia di Pieve Tesino,Scuola dell'Infanzia di Pieve Tesino,Scuola dell'infanzia,Paritaria,"Via Fratelli Rizza', 14",PIEVE TESINO,0461-594733,,pieve.tesino.presidente@fpsm.tn.it,pieve.tesino.segretario@fpsm.tn.it,,,38050
ISTITUTO COMPRENSIVO VAL RENDENA,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. RIGHI"" MADONNA DI CAMPIGLIO",Scuola Secondaria di Primo Grado,Statale,"Via Serafini, 9",TRE VILLE,0465/501139,0465/512119,ic.valrendena@pec.provincia.tn.it,segr.ic.valrendena@scuole.provincia.tn.it,www.icvalrendena.it,TNMM834031,38070
Scuola dell'infanzia di Faver,Scuola dell'Infanzia di Faver,Scuola dell'infanzia,Paritaria,"Via Perlaia - Faver, 17",ALTAVALLE,328 7310914,,faver.presidente@fpsm.tn.it,faver.segretario@fpsm.tn.it,,,38030
Scuola dell'infanzia di Serravalle,Scuola dell'Infanzia di Serravalle,Scuola dell'infanzia,Paritaria,"Via Tomasi Ingegner, 5, Serravalle",ALA,0464-696304,,serravalle.presidente@fpsm.tn.it,serravalle.segretario@fpsm.tn.it,,,38061
ISTITUTO COMPRENSIVO VIGOLO VATTARO,SCUOLA PRIMARIA VIGOLO VATTARO,Scuola Primaria,Statale,"Via Garibaldi - Vigolo Vattaro, 8",ALTOPIANO DELLA VIGOLANA,0461/848878,0461/845217,ic.vigolovattaro@pec.provincia.tn.it,segr.vigolovattaro@scuole.provincia.tn.it,www.icvigolovattaro.it,TNEE803018,38049
Scuola dell'infanzia di Bondone,Scuola dell'Infanzia di Bondone,Scuola dell'infanzia,Paritaria,"Via Giusti, 46",BONDONE,0465-299996,,bondone.presidente@fpsm.tn.it,bondone.segretario@fpsm.tn.it,,,38080
"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento",SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Statale,"Via Asiago, 14",TRENTO,0461/933147,0461/931682,ifp.trento@pec.provincia.tn.it,ifp.trento@scuole.provincia.tn.it,https://ifpsandropertinitrento.it,TNFP268STA,38123
Scuola dell'infanzia di Spiazzo Rendena,Scuola dell'Infanzia di Spiazzo Rendena,Scuola dell'infanzia,Paritaria,"Via S Vigilio, 5",SPIAZZO,0465-801326,,spiazzo.rendena.contabile@fpsm.tn.it,spiazzo.rendena.segretario@fpsm.tn.it,,,38088
ISTITUTO COMPRENSIVO CAVALESE,SCUOLA PRIMARIA CARANO,Scuola Primaria,Statale,"Via Giovanelli, 2",VILLE DI FIEMME,0462/340314,0462/342294,ic.cavalese@pec.provincia.tn.it,segr.cavalese@scuole.provincia.tn.it,www.iccavalese.it,TNEE809028,38033
ISTITUTO COMPRENSIVO STRIGNO E TESINO,"SCUOLA SECONDARIA DI PRIMO GRADO ""O. BRENTARI"" STRIGNO",Scuola Secondaria di Primo Grado,Statale,"Via Roma - Strigno, 14",CASTEL IVANO,0461/762046,0461/763409,ic.strignotesino@pec.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,www.icstrignoetesino.it,TNMM80102L,38059
Scuola dell'infanzia di Grigno,Scuola dell'Infanzia di Grigno,Scuola dell'infanzia,Paritaria,"Via Nazario Sauro, 25",GRIGNO,0461-765333,,grigno.presidente@fpsm.tn.it,grigno.segretario@fpsm.tn.it,,,38055
ISTITUTO COMPRENSIVO TRENTO 3,"SCUOLA PRIMARIA ""D. SAVIO"" TRENTO",Scuola Primaria,Statale,"Via S Pio X, 103",TRENTO,0461/934977,0461/920605,ic.trento3@pec.provincia.tn.it,segr.ic.tn3@scuole.provincia.tn.it,http://www.ictrento3.it,TNEE85601R,38122
"LICEO ""A. Rosmini"" - TRENTO",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,Scuola Secondaria di Secondo Grado,Statale,"Via Malfatti, 2",TRENTO,0461/914400,0461/914498,rosmini.trento@pec.provincia.tn.it,segr.rosmini.tn@scuole.provincia.tn.it,www.rosmini.eu,TNPM01000X,38122
Scuola dell'infanzia di Vezzano,Scuola dell'Infanzia di Vezzano,Scuola dell'infanzia,Paritaria,"Via Dante - Vezzano, 24",VALLELAGHI,0461-864918,,vezzano.presidente@fpsm.tn.it,vezzano.segretario@fpsm.tn.it,,,38070
"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""","SCUOLA PRIMARIA ""S. ANNA"" GARDOLO TRENTO",Scuola Primaria,Statale,"Via S Anna, 3",TRENTO,0461/990287,0461/994418,ic.trento7@pec.provincia.tn.it,segr.ic.tn7@scuole.provincia.tn.it,www.trento7.it,TNEE85104R,38121
ISTITUTO COMPRENSIVO CIVEZZANO,SCUOLA PRIMARIA ALBIANO,Scuola Primaria,Statale,"Via Manzoni, 4",ALBIANO,0461/858485,0461/858901,ic.civezzano@pec.provincia.tn.it,segr.i.c.civezzano@scuole.provincia.tn.it,www.iccivezzano.eu,TNEE817049,38041
ISTITUTO COMPRENSIVO VALLE DI LEDRO,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. GARIBALDI"" BEZZECCA",Scuola Secondaria di Primo Grado,Statale,"Via Falcone e Borsellino, 2, Bezzecca",LEDRO,0464/592800,0464/592819,ic.vallediledro@pec.provincia.tn.it,segr.ic.bezzecca@scuole.provincia.tn.it,www.icvallediledro.it,TNMM80601P,38067
Scuola dell'infanzia di Susà,Scuola dell'Infanzia di Susà,Scuola dell'infanzia,Paritaria,"Via Dell Asilo, 5",PERGINE VALSUGANA,0461-538471,,susa.presidente@fpsm.tn.it,susa.segretario@fpsm.tn.it,,,38057
ISTITUTO SACRO CUORE - TRENTO,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,Scuola Secondaria di Secondo Grado,Paritaria,"Piazza S Teresa Verzeri, 4",TRENTO,0461/981465,0461/982734,,istitutocomprensivo@istitutosacrocuore.it,www.istitutosacrocuore.it,TNTD035003,38122
ISTITUTO COMPRENSIVO TIONE,SCUOLA PRIMARIA ZUCLO,Scuola Primaria,Statale,"Via Fucina - Zuclo, 10",BORGO LARES,0465/321053,0465/324039,ic.tione@pec.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,www.ictione.tn.it,TNEE83604P,38079
Scuola dell'infanzia di Varone,Scuola dell'Infanzia di Varone,Scuola dell'infanzia,Paritaria,"Via Sega, 5",RIVA DEL GARDA,0464-521350,,varone.presidente@fpsm.tn.it,varone.segretario@fpsm.tn.it,,,38066
ISTITUTO COMPRENSIVO TRENTO 6,"SCUOLA PRIMARIA ""S. PERTINI"" SOPRAMONTE",Scuola Primaria,Statale,"Via Canelli - Sopramonte, 1",TRENTO,0461/236214,0461/230583,ic.trento6@pec.provincia.tn.it,segr.ic.tn6@scuole.provincia.tn.it,www.ictrento6.it,TNEE85805L,38123
